25,10, false,total cost,$64.10 ,,黑白,彩色
55,13, true,,,单面,15,25
502,22, true,,,双面,10,20
1,0, false,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
黑白,黑白 cost,单价,,,单价,彩色 cost,彩色
25,375,15, false,单面,25,250,10
55,550,10, true,双面,20,260,13
502,5020,10, true,双面,20,440,22
1,15,15, false,单面,25,0,0
,,,,,,,
sum,,,,,,,
6910,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
双面,双面 cost,单价,,,单价,单面 cost,单面
25,500,20, false,彩色,25,250,10
55,550,10, true,黑白,15,195,13
502,5020,10, true,黑白,15,330,22
1,20,20, false,彩色,25,0,0
,,,,,,,
sum,,,,,,,
6865,,,,,,,
